,Date,Action,Type,ADBE_Shares,ORCL_Shares,ADBE_Price,ORCL_Price
138,2023-04-04,Open Position,upper,129.8195528816193,531.9148936170212,385.1499938964844,94.0
139,2023-04-05,Close Position,upper,130.88320359647616,526.9259176057546,382.0199890136719,94.88999938964844
140,2023-04-06,Open Position,lower,131.37151654800815,521.2677330532707,380.6000061035156,95.91999816894531
141,2023-04-14,Close Position,lower,131.79397795475438,522.4114562562112,379.3800048828125,95.70999908447266
142,2023-04-19,Open Position,upper,131.5408748174694,521.8662068060476,380.1099853515625,95.80999755859375
143,2023-04-24,Close Position,upper,132.5064941041323,523.8893411669457,377.3399963378906,95.44000244140625
144,2023-04-25,Open Position,lower,135.28504693154207,531.5756038463959,369.5899963378906,94.05999755859375
145,2023-04-28,Close Position,lower,132.42928361932854,527.8716148186811,377.55999755859375,94.72000122070312
146,2023-05-02,Open Position,lower,135.6263210093896,527.4261433588939,368.6600036621094,94.80000305175781
147,2023-05-15,Close Position,lower,144.6466226682199,514.0859438802585,345.6700134277344,97.26000213623047
148,2023-05-17,Open Position,upper,140.20132718902843,501.1526679596695,356.6300048828125,99.7699966430664
149,2023-06-07,Close Position,upper,119.52571984262642,475.05938242280286,418.32000732421875,105.25
150,2023-06-08,Open Position,upper,113.88743397722877,465.2028139034708,439.0299987792969,107.4800033569336
151,2023-06-21,Close Position,upper,104.7164255037928,409.5004146179201,477.4800109863281,122.0999984741211
152,2023-06-22,Open Position,lower,104.69450438839566,414.6624584568781,477.5799865722656,120.58000183105469
153,2023-06-23,Close Position,lower,103.15233510909725,421.4430230717162,484.7200012207031,118.63999938964844
154,2023-06-27,Open Position,upper,102.1930654295717,424.3041543945029,489.2699890136719,117.83999633789062
155,2023-07-06,Close Position,upper,103.88746724903844,433.08792829518814,481.2900085449219,115.44999694824219
156,2023-07-07,Open Position,upper,103.03542591130916,436.26210395015045,485.2699890136719,114.61000061035156
157,2023-07-26,Close Position,upper,97.17228876918699,432.9004329004329,514.5499877929688,115.5
158,2023-07-27,Open Position,lower,97.28194807101012,429.55325897382943,513.969970703125,116.4000015258789
159,2023-07-28,Close Position,lower,94.54119247003406,431.0716520464557,528.8699951171875,115.98999786376953
160,2023-07-31,Open Position,upper,91.5465909231868,426.51197277341663,546.1699829101562,117.2300033569336
161,2023-08-03,Close Position,upper,95.46356932132767,436.4906038231025,523.760009765625,114.55000305175781
162,2023-08-08,Open Position,lower,96.04303178025467,433.914766496372,520.5999755859375,115.2300033569336
163,2023-08-14,Close Position,lower,95.73958831977022,432.6382290562491,522.25,115.56999969482422
164,2023-08-17,Open Position,lower,97.71923053501696,435.23677920798673,511.6700134277344,114.87999725341797
165,2023-08-21,Close Position,lower,96.06702175814846,428.85325988942054,520.469970703125,116.58999633789062
166,2023-08-23,Open Position,upper,94.21340832070464,424.3041543945029,530.7100219726562,117.83999633789062
167,2023-08-24,Close Position,upper,97.57430422624661,442.8305586600483,512.4299926757812,112.91000366210938
168,2023-08-25,Open Position,upper,95.227212570922,430.8116582094285,525.0599975585938,116.05999755859375
169,2023-09-08,Close Position,upper,89.22835553404238,395.8201402849487,560.3599853515625,126.31999969482422
170,2023-09-12,Open Position,lower,92.21518963830866,456.1627563322721,542.2100219726562,109.61000061035156
171,2023-09-13,Close Position,lower,90.32444580626972,447.06725355158426,553.5599975585938,111.83999633789062
172,2023-09-15,Open Position,lower,94.53761389924497,438.9430110836861,528.8900146484375,113.91000366210938
173,2023-10-02,Close Position,lower,95.94534862993275,468.5596516631916,521.1300048828125,106.70999908447266
174,2023-10-04,Open Position,upper,96.44689951827175,466.9405971703981,518.4199829101562,107.08000183105469
175,2023-10-20,Close Position,upper,92.42827190384752,490.9180240459642,540.9600219726562,101.8499984741211
176,2023-10-23,Open Position,lower,92.5223487439741,482.3461145436598,540.4099731445312,103.66000366210938
177,2023-10-31,Close Position,lower,93.97436422476713,483.5589870613882,532.0599975585938,103.4000015258789
178,2023-11-01,Open Position,upper,91.82736455463728,472.8132387706856,544.5,105.75
179,2023-11-30,Close Position,upper,81.83171994052816,430.2555751993008,611.010009765625,116.20999908447266
180,2023-12-01,Open Position,lower,81.63665549610413,426.76680127290285,612.469970703125,117.16000366210938
181,2023-12-07,Close Position,lower,82.13147211440015,442.9874969726101,608.780029296875,112.87000274658203
182,2023-12-11,Open Position,upper,79.97440662787895,434.29168064638,625.2000122070312,115.12999725341797
183,2023-12-14,Close Position,upper,85.52271269024679,498.45480228223175,584.6400146484375,100.30999755859375
184,2023-12-15,Open Position,lower,85.516864996826,483.9334121920708,584.6799926757812,103.31999969482422
185,2023-12-26,Close Position,lower,83.57570150742326,470.85411856534336,598.260009765625,106.19000244140625
186,2023-12-28,Open Position,lower,83.96023367838475,470.5882352941176,595.52001953125,106.25
187,2024-01-09,Close Position,lower,85.29511934288607,482.48577945755835,586.2000122070312,103.62999725341797
188,2024-01-10,Open Position,upper,84.59807035436594,481.1393464298735,591.030029296875,103.91999816894531
189,2024-01-18,Close Position,upper,84.21761659416022,459.98161364997685,593.7000122070312,108.69999694824219
190,2024-01-19,Open Position,upper,81.75946528990328,455.913201739783,611.5499877929688,109.66999816894531
191,2024-01-23,Close Position,upper,83.72685055298867,447.10720898973665,597.1799926757812,111.83000183105469
192,2024-01-25,Open Position,upper,80.31096184827365,434.7826086956522,622.5800170898438,115.0
193,2024-02-06,Close Position,upper,82.35332673461218,433.65133284129365,607.1400146484375,115.30000305175781
194,2024-02-07,Open Position,lower,81.18860433895212,426.36651685242674,615.8499755859375,117.2699966430664
195,2024-02-09,Close Position,lower,79.71811394649525,428.66941239402473,627.2100219726562,116.63999938964844
196,2024-02-12,Open Position,lower,81.72070771010736,431.62984789947956,611.8400268554688,115.83999633789062
197,2024-02-26,Close Position,lower,89.20925232366581,450.57222177151556,560.47998046875,110.97000122070312
198,2024-02-29,Open Position,upper,89.24108907245478,447.7077351662826,560.280029296875,111.68000030517578
